x,y,z
-420.247986,185.099304,5.501319
-420.231293,185.108994,5.501318
-418.978302,182.945694,5.501318
-416.222992,178.188797,5.501417
-413.467407,173.431198,5.501413
-412.214386,171.267899,5.501413
-412.246002,171.249496,5.501414
-414.663696,170.012100,5.501412
-417.229095,169.033203,5.501412
-419.934509,168.348801,5.501413
-422.723907,167.988205,5.501409
-425.549988,167.950195,5.501410
-428.398499,168.214401,5.501410
-431.256989,168.752808,5.501413
-433.511200,169.276794,5.501413
-435.697815,169.785400,5.501412
-437.824402,170.280106,5.501413
-439.890411,170.760895,5.501413
-439.323792,173.195908,5.501414
-438.077606,178.550797,5.501418
-436.831604,183.904999,5.501319
-436.265015,186.339905,5.501323
-434.195099,185.858200,5.501323
-432.072601,185.364395,5.501318
-429.887207,184.856201,5.501319
-427.637207,184.333099,5.501319
-426.145294,184.050201,5.501319
-424.894287,183.932007,5.501319
-423.837006,183.944702,5.501318
-422.924713,184.062103,5.501319
-422.074585,184.276901,5.501318
-421.196503,184.612503,5.501318
-420.247986,185.099304,5.501319
