x,y,z
-152.016205,40.667271,5.227345
-151.126297,37.070030,5.246613
-153.549103,36.454559,5.285881
-155.082993,36.064892,5.310751
-157.908096,35.347210,5.356553
-159.643295,34.906391,5.384680
-161.395203,34.461349,5.413074
-162.270905,34.238892,5.427268
-164.693802,33.623322,5.533224
-165.625793,37.228230,5.533568
-166.775604,41.692101,5.538870
-168.012894,46.506279,5.549727
-168.606400,48.869461,5.557591
-169.631393,52.816368,5.577502
-170.434494,55.950619,5.602744
-170.435196,55.953201,5.602770
-171.505493,60.147881,5.644657
-171.993698,62.062210,5.663338
-172.640198,64.597511,5.688317
-173.703598,68.779800,5.731934
-174.844193,73.274559,5.785304
-176.128403,78.344643,5.858963
-177.578705,84.036743,5.952130
-178.934906,89.188423,6.039969
-180.260605,93.921898,6.127896
-181.620804,98.369797,6.214314
-183.081406,102.670898,6.299358
-184.714493,106.978897,6.387888
-186.595901,111.448097,6.484812
-188.801407,116.224403,6.595079
-190.795700,120.216003,6.695834
-192.870407,124.061996,6.794358
-195.061905,127.832397,6.879389
-197.400208,131.583099,6.939651
-199.920303,135.377106,6.963866
-202.656097,139.274200,6.940732
-205.640396,143.331894,6.858901
-206.120895,143.970306,6.840486
-208.234299,146.649796,6.751470
-210.610901,149.432007,6.654555
-213.360504,152.430206,6.546754
-216.339996,155.467300,6.435719
-221.037201,159.891800,6.312261
-224.107895,162.606903,6.235300
-227.307602,165.300598,6.163223
-231.383804,168.553101,6.078998
-235.072495,171.340302,5.996591
-238.859406,174.058701,5.924318
-242.726303,176.693298,5.866863
-246.129303,178.898895,5.808430
-249.566895,181.020905,5.740969
-253.031494,183.052505,5.710397
-253.207199,183.153900,5.710376
-251.959793,185.319702,5.707627
-251.408997,186.276001,5.707630
-250.307098,188.188995,5.707630
-249.215698,190.084000,5.707631
-247.437500,193.171295,5.707567
-246.472000,194.847595,5.707532
-245.224304,197.014008,5.707715
-245.032394,196.903305,5.707736
-241.273804,194.647705,5.714353
-237.554398,192.299301,5.733538
-233.886398,189.868698,5.767730
-229.726807,186.971100,5.821503
-225.657898,183.985703,5.886472
-221.691696,180.923798,5.965276
-217.305496,177.348907,6.068104
-213.848206,174.377808,6.158904
-210.517700,171.372101,6.254069
-205.394897,166.426498,6.414490
-202.105301,163.001404,6.525511
-199.022705,159.567596,6.634603
-196.316605,156.322205,6.734009
-193.850403,153.123703,6.842750
-193.352493,152.447006,6.863402
-190.233704,148.108902,6.951477
-187.333099,143.880096,6.981637
-184.626999,139.708603,6.964900
-182.093597,135.544998,6.912314
-179.711304,131.342407,6.834964
-177.454193,127.047699,6.743948
-175.302200,122.621201,6.650364
-172.951599,117.381699,6.547527
-170.919693,112.404602,6.456249
-169.149094,107.576698,6.371755
-167.582306,102.793602,6.289224
-166.158005,97.949966,6.203799
-164.809006,92.925743,6.105890
-163.466705,87.594589,5.984174
-162.061600,81.819862,5.834310
-160.834900,76.746483,5.703284
-159.744797,72.246727,5.605815
-158.726807,68.053146,5.529408
-158.111404,65.520050,5.480726
-157.647095,63.598019,5.304837
-156.615997,59.400688,5.152118
-156.615402,59.398102,5.152095
-155.850693,56.267570,5.139485
-154.894196,52.311340,5.174261
-154.300797,49.948120,5.162647
-153.116196,45.129520,5.179286
-152.016205,40.667271,5.227345
