x,y,z
-553.763123,-66.638313,5.501174
-553.504883,-64.329987,5.501178
-551.020386,-64.607986,5.501178
-545.557312,-65.219299,5.501280
-540.093323,-65.830688,5.501280
-537.608826,-66.108704,5.501276
-537.867126,-68.417740,5.501276
-538.123230,-70.706047,5.501276
-538.376587,-72.969452,5.501273
-538.628418,-75.217751,5.501272
-538.877319,-77.440880,5.501272
-539.124329,-79.645233,5.501269
-539.369385,-81.832512,5.501268
-539.612427,-83.999657,5.501265
-539.853516,-86.148323,5.501266
-540.092529,-88.280251,5.501266
-540.329529,-90.392159,5.501261
-540.564880,-92.489632,5.501262
-540.799011,-94.573059,5.501262
-541.030823,-96.636803,5.501258
-541.261108,-98.687553,5.501260
-541.489685,-100.720596,5.501259
-541.716919,-102.741798,5.501255
-541.942322,-104.746399,5.501254
-542.166870,-106.742699,5.501255
-542.389282,-108.719299,5.501252
-542.611206,-110.690002,5.501253
-542.831299,-112.644699,5.501252
-543.050476,-114.591797,5.501248
-543.268372,-116.523804,5.501248
-543.485413,-118.450699,5.501248
-543.700989,-120.363403,5.501245
-543.915894,-122.269302,5.501244
-544.129700,-124.163300,5.501245
-544.342712,-126.051498,5.501244
-544.554871,-127.931602,5.501241
-544.766113,-129.802704,5.501240
-544.976807,-131.668198,5.501241
-545.186584,-133.526993,5.501236
-545.396179,-135.381104,5.501237
-545.604675,-137.226593,5.501235
-545.813171,-139.070007,5.501234
-546.021118,-140.908707,5.501233
-546.228699,-142.743301,5.501234
-546.435730,-144.574203,5.501232
-546.642578,-146.401901,5.501230
-546.849182,-148.228500,5.501229
-547.055725,-150.051498,5.501229
-547.262329,-151.877106,5.501225
-547.468323,-153.695801,5.501226
-547.674622,-155.518097,5.501226
-547.880981,-157.338806,5.501222
-548.087280,-159.159805,5.501223
-548.293579,-160.980194,5.501223
-548.500488,-162.806198,5.501220
-548.707581,-164.632507,5.501220
-548.914795,-166.459793,5.501219
-549.122498,-168.291306,5.501219
-549.330688,-170.127502,5.501217
-549.539124,-171.964600,5.501216
-549.748413,-173.810196,5.501216
-549.958374,-175.660706,5.501214
-550.168823,-177.514999,5.501211
-550.379700,-179.373703,5.501212
-550.591370,-181.240005,5.501210
-550.804077,-183.114594,5.501209
-551.017578,-184.994904,5.501209
-551.231873,-186.884399,5.501208
-551.447571,-188.783707,5.501205
-551.664001,-190.690201,5.501205
-551.881409,-192.606003,5.501205
-552.100098,-194.532898,5.501206
-552.320007,-196.469894,5.501202
-552.540894,-198.416504,5.501199
-552.763306,-200.375504,5.501201
-552.987183,-202.347702,5.501198
-553.212097,-204.329498,5.501197
-553.438782,-206.326599,5.501198
-553.666687,-208.335495,5.501194
-553.896484,-210.359604,5.501194
-554.127686,-212.396606,5.501191
-554.360718,-214.449600,5.501191
-554.595520,-216.519104,5.501189
-554.832092,-218.604202,5.501187
-555.070312,-220.704300,5.501187
-555.310730,-222.822296,5.501188
-555.552795,-224.956497,5.501184
-555.797119,-227.110596,5.501183
-556.043274,-229.281799,5.501184
-556.291809,-231.472794,5.501181
-556.542419,-233.682999,5.501181
-556.795105,-235.911804,5.501177
-557.050110,-238.160797,5.501177
-557.307800,-240.433899,5.501177
-557.567505,-242.725906,5.501174
-557.829773,-245.039505,5.501173
-558.094177,-247.373093,5.501172
-558.373291,-249.873505,5.501172
-558.636414,-252.309402,5.501170
-558.884277,-254.695908,5.501170
-559.114990,-257.019806,5.501166
-559.328796,-259.288300,5.501166
-559.524902,-261.500885,5.501166
-559.703918,-263.670288,5.501163
-559.864929,-265.793915,5.501163
-560.007019,-267.865204,5.501160
-560.130310,-269.894714,5.501160
-560.234680,-271.885101,5.501157
-560.319824,-273.838593,5.501156
-560.384888,-275.754486,5.501155
-560.430176,-277.641815,5.501156
-560.454590,-279.483307,5.501155
-560.458679,-281.307709,5.501153
-560.441711,-283.097595,5.501153
-560.403503,-284.868988,5.501153
-560.343384,-286.621094,5.501147
-560.261597,-288.353607,5.501149
-560.157471,-290.068604,5.501149
-560.030823,-291.769287,5.501145
-559.880676,-293.465607,5.501145
-559.707092,-295.152802,5.501145
-559.510620,-296.827087,5.501145
-559.287720,-298.515991,5.501142
-559.041809,-300.190613,5.501142
-558.769897,-301.874603,5.501141
-558.471497,-303.567993,5.501139
-558.146301,-305.271698,5.501139
-557.795288,-306.981110,5.501138
-557.414917,-308.713806,5.501138
-557.007019,-310.459198,5.501135
-556.570312,-312.224609,5.501134
-556.103516,-314.014191,5.501135
-555.605103,-315.834412,5.501135
-555.076721,-317.678986,5.501131
-554.517212,-319.552185,5.501132
-553.925476,-321.458893,5.501132
-553.352295,-323.272308,5.501132
-552.775208,-325.097595,5.501126
-552.192078,-326.941803,5.501126
-551.605286,-328.797089,5.501126
-551.011230,-330.675415,5.501124
-550.414978,-332.560303,5.501124
-549.811096,-334.468994,5.501122
-549.207703,-336.376312,5.501121
-548.596619,-338.306885,5.501120
-547.980713,-340.252899,5.501120
-547.362488,-342.205902,5.501116
-546.740173,-344.172607,5.501117
-549.123474,-344.927185,5.501117
-554.365112,-346.586792,5.501117
-559.606018,-348.246094,5.501011
-561.989380,-349.000702,5.501011
-562.611023,-347.036102,5.501010
-563.230103,-345.080597,5.501015
-563.843628,-343.141815,5.501014
-564.454285,-341.212494,5.501016
-565.063904,-339.285706,5.501017
-565.664490,-337.387512,5.501018
-566.263489,-335.493805,5.501018
-566.855225,-333.622986,5.501021
-567.444519,-331.759796,5.501021
-568.027222,-329.917114,5.501021
-568.605286,-328.088409,5.501025
-569.176270,-326.281799,5.501026
-569.818481,-324.212585,5.501025
-570.429199,-322.167786,5.501029
-571.007874,-320.147308,5.501029
-571.554626,-318.151001,5.501029
-572.071777,-316.167908,5.501033
-572.558716,-314.199707,5.501032
-573.015198,-312.246094,5.501032
-573.440491,-310.309692,5.501033
-573.837708,-308.374786,5.501036
-574.203979,-306.455109,5.501036
-574.541382,-304.540894,5.501036
-574.850220,-302.628510,5.501040
-575.131287,-300.713287,5.501040
-575.382019,-298.814087,5.501040
-575.606873,-296.897888,5.501043
-575.803406,-294.987000,5.501043
-575.972900,-293.073090,5.501044
-576.116394,-291.147003,5.501047
-576.233826,-289.213806,5.501047
-576.325500,-287.272095,5.501045
-576.392517,-285.319397,5.501050
-576.434998,-283.350494,5.501050
-576.453918,-281.360413,5.501051
-576.449402,-279.359802,5.501053
-576.422424,-277.327393,5.501053
-576.373413,-275.286499,5.501053
-576.302917,-273.215912,5.501058
-576.211609,-271.119385,5.501056
-576.100098,-268.992096,5.501058
-575.968811,-266.831207,5.501061
-575.818176,-264.635010,5.501062
-575.649414,-262.409210,5.501061
-575.462402,-260.142609,5.501065
-575.257324,-257.828186,5.501065
-575.035400,-255.473602,5.501068
-574.797180,-253.074203,5.501068
-574.543518,-250.632202,5.501068
-574.273315,-248.129700,5.501069
-573.988281,-245.577194,5.501071
-573.723328,-243.237793,5.501071
-573.460876,-240.923004,5.501075
-573.201111,-238.630402,5.501075
-572.943909,-236.361496,5.501075
-572.688721,-234.110306,5.501079
-572.435730,-231.879700,5.501079
-572.185181,-229.670303,5.501082
-571.936890,-227.480499,5.501082
-571.690613,-225.308701,5.501081
-571.446472,-223.156601,5.501086
-571.204102,-221.020203,5.501086
-570.963806,-218.902603,5.501085
-570.725403,-216.800903,5.501088
-570.489014,-214.716995,5.501088
-570.254272,-212.649307,5.501089
-570.021301,-210.596100,5.501093
-569.789917,-208.556702,5.501093
-569.560181,-206.533096,5.501092
-569.331970,-204.522400,5.501095
-569.105530,-202.526794,5.501096
-568.880188,-200.541595,5.501096
-568.656616,-198.571793,5.501100
-568.434082,-196.612701,5.501099
-568.213013,-194.664093,5.501100
-567.993225,-192.727905,5.501104
-567.774719,-190.802505,5.501103
-567.557190,-188.885895,5.501103
-567.340820,-186.979004,5.501105
-567.125427,-185.082794,5.501107
-566.911072,-183.193893,5.501107
-566.697510,-181.311707,5.501108
-566.484985,-179.438797,5.501109
-566.273071,-177.571594,5.501111
-566.061829,-175.709793,5.501111
-565.851379,-173.855606,5.501114
-565.641907,-172.008698,5.501114
-565.432983,-170.166901,5.501114
-565.224182,-168.325699,5.501114
-565.016174,-166.491501,5.501116
-564.808472,-164.659698,5.501117
-564.601013,-162.829803,5.501117
-564.393982,-161.004105,5.501121
-564.187622,-159.182098,5.501121
-563.980713,-157.357605,5.501121
-563.774292,-155.535706,5.501124
-563.567871,-153.714706,5.501123
-563.362000,-151.895493,5.501124
-563.155273,-150.071701,5.501126
-562.949524,-148.253098,5.501128
-562.742920,-146.428802,5.501127
-562.536499,-144.604401,5.501131
-562.329590,-142.776306,5.501131
-562.122620,-140.945694,5.501132
-561.915100,-139.111694,5.501131
-561.707397,-137.274200,5.501134
-561.499084,-135.432495,5.501134
-561.290222,-133.583206,5.501135
-561.080811,-131.731705,5.501138
-560.870972,-129.873093,5.501139
-560.660400,-128.008301,5.501138
-560.449097,-126.135597,5.501142
-560.236877,-124.257004,5.501142
-560.024170,-122.370796,5.501143
-559.810120,-120.473701,5.501143
-559.595581,-118.570801,5.501143
-559.379578,-116.655899,5.501145
-559.163391,-114.735603,5.501147
-558.945129,-112.799698,5.501145
-558.726379,-110.857201,5.501150
-558.505981,-108.899597,5.501151
-558.284729,-106.934303,5.501150
-558.061523,-104.950401,5.501153
-557.837524,-102.960403,5.501152
-557.611694,-100.952003,5.501157
-557.384705,-98.932693,5.501157
-557.155823,-96.896660,5.501157
-556.925781,-94.848663,5.501160
-556.693726,-92.783043,5.501160
-556.460388,-90.705490,5.501160
-556.225220,-88.609451,5.501163
-555.987793,-86.494263,5.501163
-555.749023,-84.364502,5.501163
-555.507874,-82.215927,5.501166
-555.265015,-80.049301,5.501167
-555.020325,-77.865257,5.501167
-554.773071,-75.659729,5.501170
-554.523804,-73.433502,5.501171
-554.272827,-71.191917,5.501174
-554.018921,-68.923897,5.501174
-553.763123,-66.638313,5.501174
