x,y,z
-561.402588,-350.854095,5.501012
-561.989380,-349.000702,5.501011
-559.606018,-348.246094,5.501011
-554.365112,-346.586792,5.501117
-549.123474,-344.927185,5.501117
-546.740173,-344.172607,5.501117
-546.151489,-346.032104,5.501117
-545.562073,-347.893799,5.501113
-544.969482,-349.765686,5.501112
-544.372925,-351.650909,5.501114
-543.774780,-353.540192,5.501110
-543.173889,-355.437988,5.501109
-542.571716,-357.340698,5.501110
-541.966980,-359.250488,5.501107
-541.361084,-361.164886,5.501107
-540.752380,-363.088104,5.501106
-540.143677,-365.011505,5.501104
-539.533325,-366.940186,5.501104
-538.920593,-368.876190,5.501101
-538.307983,-370.812286,5.501100
-537.694702,-372.750702,5.501100
-537.080811,-374.691193,5.501099
-539.464417,-375.445190,5.501099
-544.706421,-377.103485,5.501099
-549.947571,-378.761505,5.500997
-552.331177,-379.515503,5.500994
-552.945679,-377.573212,5.500997
-553.559387,-375.633392,5.500997
-554.172119,-373.696899,5.500996
-554.782898,-371.766907,5.500998
-555.393677,-369.837311,5.501001
-556.003418,-367.910614,5.501001
-556.610291,-365.993286,5.501001
-557.216675,-364.077301,5.501004
-557.820984,-362.168304,5.501004
-558.423584,-360.264313,5.501004
-559.023926,-358.368896,5.501008
-559.622070,-356.478790,5.501008
-560.216919,-354.599792,5.501007
-560.810730,-352.723511,5.501009
-561.402588,-350.854095,5.501012
