x,y,z
-551.709473,-381.481110,5.500994
-552.330994,-379.516205,5.500994
-549.947388,-378.762299,5.500997
-544.705994,-377.104614,5.501099
-539.463928,-375.446686,5.501099
-537.080322,-374.692902,5.501099
-536.459717,-376.654907,5.501099
-535.837830,-378.621094,5.501099
-535.215881,-380.587585,5.501095
-534.593689,-382.555389,5.501096
-533.972229,-384.521301,5.501095
-533.350586,-386.487701,5.501092
-532.730225,-388.450806,5.501091
-532.109680,-390.414703,5.501091
-531.489929,-392.376709,5.501089
-530.871216,-394.335388,5.501088
-530.253479,-396.291901,5.501088
-529.637573,-398.242798,5.501085
-529.022583,-400.191406,5.501084
-528.408386,-402.137695,5.501084
-527.796570,-404.077209,5.501081
-527.187012,-406.010406,5.501081
-526.579224,-407.938385,5.501082
-525.973877,-409.858795,5.501078
-525.369812,-411.776215,5.501077
-524.769592,-413.682190,5.501078
-524.172729,-415.577911,5.501073
-523.577209,-417.469910,5.501074
-522.984985,-419.352386,5.501073
-522.395386,-421.227295,5.501072
-521.809570,-423.090698,5.501071
-521.228394,-424.940399,5.501070
-520.649414,-426.783905,5.501068
-520.074585,-428.615295,5.501068
-519.503784,-430.434601,5.501066
-518.936829,-432.242615,5.501064
-518.374573,-434.035889,5.501065
-517.816772,-435.816803,5.501064
-517.263916,-437.583099,5.501062
-516.715820,-439.334412,5.501062
-516.172485,-441.072388,5.501060
-515.633606,-442.796692,5.501060
-515.100525,-444.504089,5.501060
-514.479797,-446.493408,5.501057
-513.860779,-448.273102,5.501056
-513.166016,-449.910400,5.501056
-512.392822,-451.434296,5.501054
-511.543610,-452.853699,5.501052
-510.638885,-454.150085,5.501053
-509.673889,-455.344391,5.501052
-508.653107,-456.440887,5.501052
-507.574188,-457.448486,5.501051
-506.442993,-458.366913,5.501050
-505.254608,-459.203613,5.501050
-504.022400,-459.952209,5.501049
-502.738098,-460.620300,5.501050
-501.419006,-461.201111,5.501049
-500.050201,-461.702393,5.501049
-498.653503,-462.117004,5.501049
-497.229797,-462.446594,5.501049
-495.776093,-462.692596,5.501049
-494.308807,-462.852386,5.501049
-492.824402,-462.927185,5.501049
-491.334290,-462.916199,5.501048
-489.840515,-462.819611,5.501049
-488.359100,-462.638702,5.501049
-486.891693,-462.374115,5.501049
-485.440491,-462.026001,5.501049
-484.727905,-461.833313,5.501049
-484.075012,-464.246490,5.501046
-482.639191,-469.553711,5.501046
-481.203491,-474.860199,5.500941
-480.550598,-477.273499,5.500937
-481.260895,-477.465515,5.500937
-483.600403,-478.027100,5.500937
-485.970001,-478.454498,5.500937
-488.358887,-478.746185,5.500937
-490.755615,-478.901001,5.500936
-493.163513,-478.918915,5.500937
-495.571503,-478.797791,5.500937
-497.978210,-478.535492,5.500937
-500.366791,-478.131287,5.500937
-502.741089,-477.581207,5.500937
-505.084900,-476.884613,5.500937
-507.386414,-476.041595,5.500937
-509.654205,-475.043091,5.500941
-511.860413,-473.895508,5.500940
-514.009827,-472.589996,5.500941
-516.080688,-471.132599,5.500941
-518.073730,-469.515411,5.500943
-519.970886,-467.743805,5.500943
-521.765198,-465.815796,5.500944
-523.441528,-463.738892,5.500948
-524.990784,-461.515289,5.500946
-526.395996,-459.164612,5.500947
-527.664490,-456.666290,5.500950
-528.785217,-454.027496,5.500950
-529.743408,-451.275787,5.500955
-530.369812,-449.268585,5.500955
-530.901794,-447.564514,5.500955
-531.438782,-445.845886,5.500959
-531.981384,-444.110413,5.500958
-532.529480,-442.359009,5.500958
-533.082092,-440.593903,5.500958
-533.638977,-438.815704,5.500959
-534.200928,-437.023712,5.500962
-534.766174,-435.220612,5.500961
-535.336121,-433.404297,5.500963
-535.909912,-431.576385,5.500965
-536.487305,-429.737915,5.500965
-537.069824,-427.884003,5.500966
-537.654785,-426.023193,5.500965
-538.242615,-424.154114,5.500968
-538.833984,-422.273987,5.500969
-539.428406,-420.385406,5.500969
-540.026978,-418.484100,5.500972
-540.627625,-416.576996,5.500972
-541.229614,-414.666595,5.500972
-541.835083,-412.745300,5.500976
-542.442383,-410.818787,5.500975
-543.052002,-408.885803,5.500976
-543.663330,-406.947998,5.500979
-544.275574,-405.007202,5.500979
-544.890381,-403.059692,5.500979
-545.507019,-401.106506,5.500984
-546.124023,-399.152100,5.500983
-546.742615,-397.193695,5.500983
-547.361816,-395.233612,5.500986
-547.981812,-393.271515,5.500987
-548.603088,-391.305511,5.500987
-549.224182,-389.340698,5.500988
-549.845825,-387.374298,5.500990
-550.466980,-385.409698,5.500989
-551.088379,-383.444702,5.500994
-551.709473,-381.481110,5.500994
