x,y,z
-370.818909,-302.808197,5.501120
-371.664001,-304.441406,5.501117
-373.638489,-303.458801,5.501117
-377.929108,-301.323486,5.501142
-382.224487,-299.185913,5.501142
-384.197693,-298.203888,5.501142
-383.153107,-296.184998,5.501144
-382.051788,-294.202087,5.501145
-381.071106,-292.505493,5.501145
-380.069885,-290.795410,5.501149
-379.045807,-289.067810,5.501149
-378.000305,-287.324707,5.501148
-376.937103,-285.571899,5.501147
-375.857208,-283.811188,5.501152
-374.764313,-282.047791,5.501153
-373.654694,-280.275696,5.501152
-372.532806,-278.501801,5.501156
-371.398499,-276.725891,5.501156
-370.258087,-274.957611,5.501155
-369.106201,-273.188690,5.501157
-367.949402,-271.428894,5.501157
-366.787506,-269.677887,5.501160
-365.622406,-267.938690,5.501159
-364.453705,-266.210510,5.501161
-363.285004,-264.498993,5.501162
-362.117401,-262.805511,5.501163
-360.951599,-261.131287,5.501166
-359.787903,-259.476807,5.501166
-358.631714,-257.849915,5.501166
-357.480988,-256.247986,5.501166
-356.338013,-254.674194,5.501170
-355.204712,-253.131699,5.501169
-354.079987,-251.618896,5.501170
-352.968811,-250.143097,5.501172
-351.871490,-248.704895,5.501172
-350.788910,-247.305603,5.501173
-349.611908,-245.800507,5.501173
-348.419891,-244.286194,5.501174
-347.212311,-242.762695,5.501173
-345.990997,-241.232895,5.501176
-344.754608,-239.695694,5.501177
-343.502289,-238.150604,5.501177
-342.238800,-236.604202,5.501177
-340.960785,-235.052704,5.501180
-339.669312,-233.498199,5.501181
-338.364685,-231.941498,5.501181
-337.047302,-230.384003,5.501180
-335.712708,-228.820694,5.501184
-334.371185,-227.264496,5.501184
-333.014099,-225.705902,5.501184
-331.646790,-224.151398,5.501184
-330.264099,-222.596207,5.501188
-328.873199,-221.048798,5.501188
-327.468506,-219.503494,5.501188
-326.051697,-217.962997,5.501192
-324.624207,-216.429398,5.501189
-323.186707,-214.903900,5.501191
-321.738708,-213.386795,5.501191
-320.278809,-211.877396,5.501194
-318.805908,-210.375107,5.501194
-318.060303,-209.620499,5.501194
-317.181396,-208.732193,5.501195
-316.172485,-207.713593,5.501195
-315.043304,-206.574097,5.501195
-313.808411,-205.328598,5.501197
-312.474304,-203.983398,5.501196
-311.056213,-202.554001,5.501198
-309.560303,-201.046494,5.501198
-307.997192,-199.471497,5.501201
-306.375793,-197.837799,5.501201
-304.707214,-196.156799,5.501201
-303.002106,-194.439102,5.501205
-301.271301,-192.695602,5.501205
-299.523712,-190.934998,5.501205
-297.768494,-189.166794,5.501205
-296.018707,-187.403793,5.501208
-294.282501,-185.654495,5.501208
-292.570892,-183.929596,5.501209
-290.891205,-182.236603,5.501210
-289.258698,-180.590897,5.501210
-287.679291,-178.998199,5.501212
-286.165497,-177.471298,5.501212
-284.725800,-176.018600,5.501214
-283.369812,-174.649597,5.501212
-282.111603,-173.378693,5.501216
-280.957001,-172.211395,5.501216
-279.921509,-171.163605,5.501217
-279.011810,-170.241806,5.501217
-278.484589,-169.707397,5.501217
-277.858398,-169.073105,5.501217
-277.135193,-168.340897,5.501217
-276.320801,-167.516693,5.501219
-275.416992,-166.602295,5.501219
-274.424286,-165.598206,5.501219
-273.354187,-164.516006,5.501220
-272.205200,-163.354095,5.501220
-270.983185,-162.118698,5.501223
-269.694214,-160.815598,5.501223
-268.339905,-159.446701,5.501223
-266.925995,-158.017593,5.501223
-265.455597,-156.531494,5.501227
-263.931305,-154.990997,5.501227
-262.360199,-153.403397,5.501227
-260.745514,-151.771698,5.501226
-259.090393,-150.099304,5.501229
-257.399994,-148.391296,5.501229
-255.677094,-146.650604,5.501230
-253.927307,-144.882599,5.501229
-252.154800,-143.091797,5.501232
-250.362503,-141.281006,5.501233
-248.554504,-139.454407,5.501234
-246.736801,-137.618103,5.501235
-244.910706,-135.773193,5.501237
-243.083099,-133.926804,5.501237
-241.256699,-132.081696,5.501241
-239.435394,-130.241806,5.501240
-237.623795,-128.411697,5.501241
-235.826202,-126.595703,5.501245
-234.045898,-124.797203,5.501245
-232.287704,-123.021103,5.501244
-230.555893,-121.271599,5.501245
-228.854706,-119.553001,5.501245
-227.186905,-117.868103,5.501248
-225.558395,-116.222900,5.501247
-223.971893,-114.620201,5.501248
-222.432297,-113.064697,5.501247
-220.943207,-111.560204,5.501252
-219.509598,-110.111801,5.501251
-218.134796,-108.722801,5.501252
-216.823395,-107.397797,5.501252
-215.579895,-106.141296,5.501254
-214.406601,-104.955597,5.501255
-213.310303,-103.847702,5.501254
-212.292297,-102.818901,5.501254
-211.358307,-101.874702,5.501255
-210.512894,-101.020103,5.501255
-209.760101,-100.258904,5.501259
-209.165802,-99.658569,5.501259
-208.451508,-98.937973,5.501259
-207.620193,-98.100037,5.501259
-206.683899,-97.156731,5.501258
-205.645493,-96.111107,5.501258
-204.511993,-94.969910,5.501261
-203.292007,-93.741837,5.501262
-201.991898,-92.433144,5.501262
-200.619507,-91.051811,5.501262
-199.181198,-89.604027,5.501261
-197.684494,-88.097366,5.501266
-196.136200,-86.538643,5.501266
-194.544205,-84.935547,5.501265
-192.914093,-83.293907,5.501268
-191.253799,-81.621384,5.501267
-189.570404,-79.925117,5.501269
-187.872192,-78.213417,5.501269
-186.165207,-76.492203,5.501272
-184.456894,-74.769073,5.501272
-182.753601,-73.050133,5.501273
-181.063400,-71.343536,5.501276
-179.392197,-69.655190,5.501276
-177.749207,-67.994347,5.501276
-176.140503,-66.366913,5.501276
-174.572800,-64.779503,5.501280
-173.053696,-63.239979,5.501280
-171.590393,-61.755341,5.501280
-170.190994,-60.333649,5.501279
-168.461105,-58.509769,5.501281
-166.873093,-56.831081,5.501283
-165.443100,-55.314129,5.501283
-164.402603,-54.205711,5.501282
-163.285904,-53.011662,5.501283
-162.097504,-51.737209,5.501284
-160.843597,-50.389351,5.501287
-159.534698,-48.979340,5.501287
-158.173401,-47.510509,5.501287
-156.769806,-45.993710,5.501287
-155.329407,-44.435242,5.501289
-153.859406,-42.842949,5.501290
-152.367203,-41.225060,5.501290
-150.856903,-39.586349,5.501290
-149.338303,-37.937340,5.501294
-147.816498,-36.283989,5.501294
-146.299698,-34.635239,5.501293
-144.792297,-32.996201,5.501297
-143.302994,-31.376320,5.501297
-141.838394,-29.782949,5.501297
-140.403900,-28.222160,5.501297
-139.007004,-26.702240,5.501301
-137.655304,-25.231670,5.501301
-136.353195,-23.815290,5.501301
-135.109695,-22.463140,5.501301
-133.931107,-21.182220,5.501303
-132.822205,-19.977831,5.501302
-131.790604,-18.858561,5.501303
-130.774994,-17.796061,5.501305
-130.471893,-17.454309,5.501303
-130.232605,-17.137280,5.501305
-130.046799,-16.844259,5.501305
-129.907196,-16.575670,5.501305
-129.808502,-16.336180,5.501303
-129.742905,-16.123699,5.501305
-129.703003,-15.932070,5.501307
-129.684006,-15.760970,5.501307
-129.681702,-15.592780,5.501307
-129.695801,-15.426010,5.501307
-129.728195,-15.249090,5.501306
-129.784393,-15.051220,5.501307
-129.872299,-14.825690,5.501307
-129.999405,-14.571350,5.501307
-130.179794,-14.278510,5.501307
-130.420700,-13.953830,5.501307
-130.737701,-13.592930,5.501307
-130.737701,-13.592930,5.501307
-132.388397,-11.754140,5.501307
-133.927795,-10.038300,5.501311
-135.370895,-8.428773,5.501310
-136.733505,-6.907972,5.501311
-138.021194,-5.469340,5.501310
-139.255402,-4.089602,5.501316
-140.443802,-2.759686,5.501315
-141.602600,-1.462000,5.501315
-142.744003,-0.182614,5.501315
-143.883194,1.095184,5.501315
-145.029800,2.382195,5.501379
-146.199997,3.696275,5.501947
