type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	31.337652824	121.217959166	0.8						
T	31.337684964	121.217959948	0.9						
T	31.337713433	121.217961042	0.9						
T	31.337739633	121.217961667	1.0						
T	31.337764323	121.217961666	1.0						
T	31.337787849	121.217961039	1.0						
T	31.337817220	121.217958688	1.1						
T	31.337843328	121.217955403	1.2						
T	31.337869126	121.217951333	1.2						
T	31.337894841	121.217946011	1.3						
T	31.337914491	121.217940689	1.3						
T	31.337937082	121.217932863	1.3						
T	31.337952940	121.217927697	1.3						
T	31.337971581	121.217919608	1.4						
T	31.337996943	121.217908312	1.4						
T	31.338019763	121.217896459	1.4						
T	31.338038462	121.217886418	1.4						
T	31.338061472	121.217873027	1.3						
T	31.338079814	121.217861173	1.3						
T	31.338104704	121.217843741	1.2						
T	31.338118621	121.217832678	1.2						
T	31.338130174	121.217823196	1.2						
T	31.338142648	121.217812750	1.1						
T	31.338156913	121.217800407	1.1						
T	31.338171031	121.217787722	1.0						
T	31.338186815	121.217772360	1.0						
T	31.338202621	121.217755959	0.8						
T	31.338215427	121.217742116	0.7						
T	31.338246972	121.217709256	0.5						
T	31.338292667	121.217661423	0.2						
T	31.338365399	121.217587576	-0.2						
T	31.338408183	121.217543182	-0.2						
T	31.338471308	121.217479702	0.1						
T	31.338525223	121.217428384	0.6						
T	31.338601430	121.217353423	1.5						
T	31.338658031	121.217297388	1.9						
T	31.338791803	121.217166034	2.9						
T	31.338857476	121.217098408	3.3						
T	31.339037794	121.216912138	3.9						
T	31.339141831	121.216800782	3.5						
T	31.339258794	121.216677072	3.0						
T	31.339435936	121.216491777	2.4						
T	31.339750247	121.216168357	2.9						
T	31.339838692	121.216078335	2.6						
T	31.339930403	121.215981408	2.3						
T	31.339997151	121.215915336	2.0						
T	31.340033869	121.215881550	2.0						
T	31.340066197	121.215854918	2.0						
T	31.340092685	121.215835360	2.0						
T	31.340114718	121.215819161	2.1						
T	31.340131540	121.215807343	2.1						
T	31.340149343	121.215797002	2.1						
T	31.340170378	121.215784451	2.2						
T	31.340187200	121.215776079	2.2						
T	31.340202018	121.215768691	2.2						
T	31.340219714	121.215759959	2.3						
T	31.340239095	121.215750849	2.3						
T	31.340276936	121.215733718	2.4						
T	31.340318003	121.215716729	2.5						
T	31.340485033	121.215653385	2.9						
T	31.340862956	121.215501286	3.1						
T	31.340951225	121.215465609	2.9						
T	31.341004816	121.215443472	2.8						
T	31.341243561	121.215345157	2.3						
T	31.341402666	121.215279922	2.0						
T	31.341594225	121.215204504	2.0						
T	31.341776580	121.215132610	2.4						
T	31.341926445	121.215076289	2.9						
T	31.341989444	121.215050583	3.1						
T	31.342031916	121.215036044	3.3						
T	31.342042817	121.215034551	3.3						
T	31.342051396	121.215034537	3.3						
T	31.342061763	121.215035142	3.4						
T	31.342073917	121.215037776	3.4						
T	31.342087854	121.215043376	3.4						
T	31.342101140	121.215050818	3.5						
T	31.342112860	121.215059089	3.5						
T	31.342121507	121.215066521	3.5						
T	31.342128365	121.215073686	3.5						
T	31.342135156	121.215082423	3.5						
T	31.342140828	121.215091419	3.5						
T	31.342145032	121.215099101	3.5						
T	31.342148915	121.215107344	3.5						
T	31.342152319	121.215115698	3.4						
T	31.342155047	121.215126931	3.4						
T	31.342157293	121.215138762	3.4						
T	31.342158595	121.215152681	3.3						
T	31.342158792	121.215170842	3.3						
T	31.342157001	121.215185180	3.3						
T	31.342153738	121.215201002	3.2						
T	31.342148992	121.215217619	3.2						
T	31.342143333	121.215233358	3.1						
T	31.342137463	121.215248341	3.1						
T	31.342130257	121.215264535	3.0						
T	31.342124303	121.215276740	3.0						
T	31.342117398	121.215290608	3.0						
T	31.342108412	121.215307691	3.0						
T	31.342098158	121.215326760	3.0						
T	31.342082629	121.215354189	3.0						
T	31.342063838	121.215385192	3.0						
T	31.342039725	121.215427222	3.0						
T	31.342008147	121.215479131	3.0						
T	31.341970170	121.215537778	3.0						
T	31.341924855	121.215602965	2.9						
T	31.341864116	121.215683017	2.7						
T	31.341804235	121.215755420	2.5						
T	31.341749727	121.215814716	2.3						
T	31.341695991	121.215869725	2.1						
T	31.341648089	121.215916007	1.9						
T	31.341602129	121.215958893	1.8						
T	31.341569763	121.215986927	1.7						
T	31.341505298	121.216039398	1.4						
T	31.341438070	121.216089964	1.2						
T	31.341360580	121.216145470	1.2						
T	31.341263218	121.216210897	1.5						
T	31.341185513	121.216262898	1.5						
T	31.340818701	121.216504643	1.6						
T	31.340772602	121.216534007	1.7						
T	31.340682760	121.216590344	1.8						
T	31.340586836	121.216653859	1.9						
T	31.340496639	121.216717269	2.2						
T	31.340338225	121.216825238	2.3						
T	31.340239841	121.216893264	2.2						
T	31.340153994	121.216953216	2.0						
T	31.340065128	121.217015461	1.5						
T	31.340021815	121.217048017	1.3						
