type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	31.337626257	121.222252243	5.4	#ffff7f	1.00	4	Shanghai_centerline_mine		Shanghai_centerline_mine.kml
T	31.336774273	121.218012637	0.0						
T	31.336710874	121.217700255	0.5						
T	31.336644693	121.217374940	2.0						
T	31.336631595	121.217304741	2.1						
T	31.336627478	121.217276791	2.1						
T	31.336624512	121.217244207	2.1						
T	31.336621177	121.217199112	2.1						
T	31.336621176	121.217152717	2.1						
T	31.336622655	121.217105454	2.1						
T	31.336624962	121.217066666	2.1						
T	31.336629488	121.217018235	2.0						
T	31.336635454	121.216971249	2.0						
T	31.336644096	121.216923299	2.0						
T	31.336655208	121.216873904	2.0						
T	31.336669519	121.216821916	2.0						
T	31.336688039	121.216765292	1.9						
T	31.336710678	121.216707247	1.8						
T	31.336740170	121.216643014	1.8						
T	31.336770986	121.216583700	2.0						
T	31.336791655	121.216546829	2.2						
T	31.336824680	121.216497387	2.4						
T	31.336859808	121.216449933	2.6						
T	31.336888726	121.216415648	2.8						
T	31.336923135	121.216378764	3.0						
T	31.336965940	121.216336395	2.9						
T	31.337015148	121.216294361	2.8						
T	31.337064523	121.216260025	2.8						
T	31.337121511	121.216226266	2.7						
T	31.337180163	121.216198352	2.7						
T	31.337234673	121.216178527	2.8						
T	31.337298319	121.216160190	2.8						
T	31.337357713	121.216150303	2.9						
T	31.337405531	121.216145891	2.9						
T	31.337466435	121.216145206	2.9						
T	31.337527120	121.216148557	3.0						
T	31.337592509	121.216160240	3.1						
T	31.337655359	121.216174603	3.2						
T	31.337712599	121.216194803	3.2						
T	31.337765538	121.216218111	3.2						
T	31.337815906	121.216246738	3.0						
T	31.337861922	121.216282642	2.6						
T	31.337901858	121.216319769	2.4						
T	31.337938028	121.216362625	2.1						
T	31.337963446	121.216398758	1.9						
T	31.337985240	121.216437922	1.6						
T	31.338001982	121.216476877	1.4						
T	31.338016033	121.216515946	1.1						
T	31.338028345	121.216556603	0.8						
T	31.338037533	121.216594894	0.5						
T	31.338044614	121.216636304	0.2						
T	31.338049944	121.216676961	-0.0						
T	31.338052493	121.216715264	-0.2						
T	31.338054149	121.216754631	-0.3						
T	31.338052864	121.216792277	-0.5						
T	31.338049034	121.216833010	-0.6						
T	31.338041869	121.216871301	-0.7						
T	31.338032937	121.216907217	-0.9						
T	31.338021363	121.216941852	-1.0						
T	31.338006114	121.216977562	-1.0						
T	31.337989826	121.217010198	-0.9						
T	31.337974233	121.217036013	-0.9						
T	31.337958433	121.217059246	-0.9						
T	31.337936753	121.217082696	-0.8						
T	31.337913419	121.217101627	-0.7						
T	31.337887162	121.217119053	-0.6						
T	31.337859418	121.217133682	-0.5						
T	31.337828367	121.217146376	-0.4						
T	31.337792003	121.217155843	-0.3						
T	31.337761284	121.217159071	-0.2						
T	31.337726190	121.217158212	-0.2						
T	31.337701123	121.217154341	-0.2						
T	31.337673195	121.217147674	-0.2						
T	31.337651440	121.217141436	-0.2						
T	31.337625900	121.217131112	-0.1						
T	31.337597415	121.217118636	-0.1						
T	31.337581981	121.217111538	-0.1						
T	31.337565812	121.217104009	-0.1						
T	31.337550011	121.217096481	-0.1						
T	31.337538251	121.217090673	-0.1						
T	31.337526676	121.217085296	-0.0						
T	31.337515835	121.217079703	-0.0						
T	31.337501315	121.217073465	-0.0						
T	31.337488821	121.217068518	0.0						
T	31.337469161	121.217060775	0.0						
T	31.337453727	121.217055183	0.1						
T	31.337445826	121.217052171	0.1						
T	31.337434801	121.217048730	0.1						
T	31.337429783	121.217047654	0.1						
T	31.337422627	121.217046175	0.1						
T	31.337413597	121.217044539	0.1						
T	31.337404154	121.217043455	0.1						
T	31.337395080	121.217043456	0.1						
T	31.337385143	121.217043983	0.1						
T	31.337371442	121.217045095	0.2						
T	31.337358148	121.217047002	0.2						
T	31.337344309	121.217049702	0.2						
T	31.337329929	121.217053197	0.2						
T	31.337316364	121.217056692	0.3						
T	31.337300134	121.217062410	0.3						
T	31.337287654	121.217067811	0.3						
T	31.337275852	121.217073529	0.4						
T	31.337260467	121.217082368	0.4						
T	31.337243375	121.217093327	0.5						
T	31.337225752	121.217105922	0.6						
T	31.337210966	121.217118469	0.6						
T	31.337192925	121.217136099	0.7						
