x,y,z
-438.368805,186.829697,5.501322
-436.265015,186.339905,5.501323
-436.831604,183.904999,5.501319
-438.077606,178.550797,5.501418
-439.323792,173.195908,5.501414
-439.890411,170.760895,5.501413
-441.997406,171.251404,5.501413
-444.050201,171.729294,5.501414
-446.055786,172.196198,5.501412
-448.026703,172.654999,5.501414
-449.955811,173.103897,5.501414
-451.857208,173.546204,5.501414
-453.731201,173.981796,5.501414
-455.589813,174.413696,5.501416
-457.431213,174.841095,5.501417
-459.264893,175.266296,5.501417
-461.095093,175.690201,5.501417
-462.927399,176.114105,5.501417
-464.766388,176.539001,5.501417
-466.618011,176.966095,5.501417
-468.487915,177.396805,5.501418
-470.381714,177.832306,5.501418
-472.303406,178.273407,5.501418
-474.257812,178.721298,5.501418
-476.255188,179.178299,5.501417
-478.295990,179.644302,5.501418
-480.386810,180.120895,5.501420
-482.533600,180.609497,5.501420
-484.740509,181.110794,5.501420
-487.013611,181.626297,5.501420
-487.808289,181.747299,5.501420
-488.729889,181.763504,5.501420
-489.752991,181.656906,5.501418
-490.880493,181.409607,5.501420
-492.044495,181.023499,5.501420
-493.225311,180.498505,5.501418
-494.388611,179.843307,5.501418
-495.490601,179.079193,5.501417
-496.504211,178.225800,5.501418
-497.401001,177.310394,5.501418
-498.171112,176.347000,5.501417
-498.790405,175.373505,5.501416
-499.249786,174.425400,5.501417
-499.562103,173.502197,5.501414
-499.915314,172.167999,5.501414
-500.304504,170.695602,5.501413
-500.721497,169.116196,5.501413
-501.164215,167.437393,5.501410
-501.628906,165.672394,5.501410
-502.117004,163.817093,5.501410
-502.628906,161.868607,5.501407
-503.154907,159.864197,5.501407
-503.695007,157.803497,5.501407
-504.249512,155.684296,5.501403
-504.813202,153.527802,5.501402
-505.383606,151.342102,5.501402
-505.961609,149.123993,5.501399
-506.541687,146.893997,5.501400
-507.121613,144.660904,5.501396
-507.700806,142.425705,5.501396
-508.274109,140.209396,5.501396
-508.841003,138.012405,5.501393
-509.399902,135.841003,5.501392
-509.947601,133.707001,5.501393
-510.480591,131.623596,5.501391
-510.998688,129.591507,5.501389
-511.497192,127.628197,5.501390
-511.974915,125.738403,5.501389
-512.429321,123.931099,5.501386
-512.855286,122.225502,5.501386
-513.255615,120.611198,5.501386
-513.625427,119.106201,5.501386
-513.971008,117.663101,5.501382
-514.331116,116.101196,5.501382
-514.694519,114.470901,5.501381
-515.065613,112.753899,5.501380
-515.442688,110.958801,5.501378
-515.823486,109.097504,5.501379
-516.207703,107.172096,5.501379
-516.592224,105.199303,5.501375
-516.976685,103.181000,5.501374
-517.360291,101.124001,5.501374
-517.742615,99.031174,5.501371
-518.120117,96.921173,5.501373
-518.495117,94.780724,5.501368
-518.863281,92.636711,5.501368
-519.226379,90.479553,5.501369
-519.579773,88.335648,5.501363
-519.925781,86.192047,5.501363
-520.262024,84.063393,5.501365
-520.587219,81.956169,5.501362
-520.900513,79.877167,5.501361
-521.200623,77.832893,5.501361
-521.486572,75.830551,5.501357
-521.757507,73.876770,5.501356
-522.013123,71.969223,5.501357
-522.250183,70.133522,5.501355
-522.468872,68.367508,5.501354
-522.668213,66.676201,5.501354
-522.935730,64.340691,5.501354
-523.198914,62.043400,5.501350
-523.458313,59.773979,5.501351
-523.715576,57.524990,5.501351
-523.968018,55.316341,5.501347
-524.217712,53.129280,5.501346
-524.463501,50.974400,5.501342
-524.706726,48.840672,5.501342
-524.947327,46.730400,5.501343
-525.184326,44.647869,5.501339
-525.418701,42.588669,5.501339
-525.650391,40.550091,5.501339
-525.879700,38.531120,5.501336
-526.106995,36.528961,5.501336
-526.331482,34.549839,5.501337
-526.553284,32.592892,5.501333
-526.773682,30.646151,5.501333
-526.991821,28.719681,5.501332
-527.207886,26.808849,5.501330
-527.422913,24.907040,5.501330
-527.635620,23.024611,5.501329
-527.847229,21.149160,5.501327
-528.057190,19.287380,5.501327
-528.265808,17.436430,5.501326
-528.473083,15.595310,5.501323
-528.679321,13.763080,5.501322
-528.885376,11.930930,5.501321
-529.089478,10.115510,5.501319
-529.293579,8.298252,5.501319
-529.496582,6.491893,5.501318
-529.699524,4.683671,5.501318
-529.901672,2.880521,5.501318
-530.103577,1.079487,5.501314
-530.305481,-0.722366,5.501314
-530.507507,-2.526019,5.501315
-530.708984,-4.326477,5.501316
-530.911316,-6.132626,5.501311
-531.113220,-7.939503,5.501310
-531.315979,-9.752048,5.501311
-531.518921,-11.567240,5.501308
-531.723206,-13.395910,5.501307
-531.927612,-15.225240,5.501307
-532.132874,-17.064079,5.501305
-532.339172,-18.911421,5.501305
-532.546570,-20.768240,5.501303
-532.755310,-22.639330,5.501301
-532.965027,-24.517990,5.501301
-533.176270,-26.410950,5.501299
-533.389221,-28.319120,5.501297
-533.603699,-30.241579,5.501297
-533.819885,-32.179329,5.501297
-534.037903,-34.133331,5.501293
-534.257874,-36.104549,5.501294
-534.480225,-38.097542,5.501294
-534.704285,-40.106079,5.501290
-534.930725,-42.134819,5.501290
-535.160095,-44.189880,5.501290
-535.391479,-46.263512,5.501287
-535.625793,-48.361889,5.501287
-535.862671,-50.484261,5.501287
-536.102783,-52.633251,5.501284
-536.345520,-54.806549,5.501283
-536.591492,-57.008389,5.501283
-536.840820,-59.239670,5.501281
-537.093323,-61.498211,5.501280
-537.349121,-63.786591,5.501280
-537.608826,-66.108803,5.501276
-540.093323,-65.830757,5.501280
-545.557312,-65.219299,5.501280
-551.020386,-64.607918,5.501178
-553.504883,-64.329880,5.501178
-553.245605,-62.011429,5.501178
-552.989624,-59.721451,5.501178
-552.737000,-57.461979,5.501178
-552.487976,-55.233711,5.501181
-552.242126,-53.032520,5.501181
-551.999084,-50.857368,5.501185
-551.759277,-48.710571,5.501185
-551.522400,-46.587860,5.501185
-551.288086,-44.489960,5.501188
-551.056519,-42.414181,5.501188
-550.827820,-40.364769,5.501188
