x,y,z
-376.302704,-331.993500,5.501103
-375.980591,-333.931793,5.501101
-378.148102,-334.332489,5.501101
-382.862000,-335.203796,5.501119
-387.592590,-336.078186,5.501119
-389.747314,-336.476501,5.501119
-390.155396,-334.018585,5.501124
-390.463593,-331.582794,5.501123
-390.672791,-329.171814,5.501126
-390.784210,-326.787903,5.501126
-390.799408,-324.432098,5.501127
-390.720215,-322.102600,5.501132
-390.548706,-319.802795,5.501130
-390.287109,-317.531097,5.501136
-389.937500,-315.288513,5.501134
-389.502991,-313.077209,5.501135
-388.987793,-310.903290,5.501136
-388.392914,-308.757111,5.501137
-387.721100,-306.640106,5.501137
-386.977203,-304.557007,5.501138
-386.163696,-302.504791,5.501142
-385.284302,-300.484711,5.501141
-384.197693,-298.203888,5.501142
-382.224487,-299.185913,5.501142
-377.929108,-301.323486,5.501142
-373.638489,-303.458801,5.501117
-371.664001,-304.441406,5.501117
-372.539001,-306.277496,5.501116
-373.238403,-307.884003,5.501116
-373.877594,-309.496399,5.501115
-374.456512,-311.117615,5.501115
-374.973389,-312.746704,5.501113
-375.429108,-314.390289,5.501113
-375.822601,-316.051514,5.501113
-376.150787,-317.722992,5.501109
-376.414215,-319.412506,5.501111
-376.611206,-321.124115,5.501108
-376.740814,-322.860992,5.501111
-376.800812,-324.623199,5.501106
-376.789215,-326.416199,5.501106
-376.703888,-328.240112,5.501106
-376.542603,-330.097687,5.501102
-376.302704,-331.993500,5.501103
