x,y,z
-356.255005,-412.675812,5.500976
-355.941193,-413.919495,5.500977
-358.373108,-414.499207,5.500972
-363.720490,-415.773987,5.501075
-369.068604,-417.048889,5.501075
-371.500488,-417.628601,5.501074
-371.778687,-416.394196,5.501075
-372.078796,-415.069611,5.501075
-372.397095,-413.670013,5.501078
-372.734100,-412.191895,5.501077
-373.091705,-410.628693,5.501078
-373.461914,-409.011414,5.501077
-373.852509,-407.309814,5.501081
-374.254211,-405.560913,5.501081
-374.671600,-403.745300,5.501081
-375.102386,-401.872986,5.501084
-375.543610,-399.955505,5.501084
-375.996613,-397.987091,5.501085
-376.458801,-395.978394,5.501088
-376.930298,-393.928894,5.501087
-377.409790,-391.844086,5.501088
-377.895813,-389.729401,5.501091
-378.388489,-387.583588,5.501092
-378.886505,-385.412506,5.501091
-379.387390,-383.225891,5.501096
-379.891907,-381.021301,5.501096
-380.398590,-378.803009,5.501099
-380.906708,-376.575104,5.501099
-381.415009,-374.342194,5.501099
-381.921295,-372.113007,5.501100
-382.426788,-369.882202,5.501103
-382.929688,-367.657288,5.501102
-383.428894,-365.442688,5.501104
-383.922791,-363.243988,5.501107
-384.411804,-361.060791,5.501107
-384.893585,-358.900787,5.501107
-385.368011,-356.766113,5.501110
-385.833405,-354.662201,5.501109
-386.289703,-352.589996,5.501114
-386.735992,-350.551605,5.501114
-387.170105,-348.557495,5.501113
-387.592499,-346.604492,5.501117
-388.000885,-344.701813,5.501117
-388.395599,-342.848907,5.501117
-388.775085,-341.050293,5.501117
-386.621887,-340.569885,5.501120
-381.941193,-339.525513,5.501120
-377.256989,-338.480499,5.501100
-375.111115,-338.001709,5.501100
-374.692810,-339.761108,5.501100
-374.257111,-341.578613,5.501095
-373.804993,-343.451111,5.501095
-373.338409,-345.370697,5.501094
-372.857208,-347.338593,5.501088
-372.364197,-349.344391,5.501087
-371.858795,-351.390594,5.501086
-371.342499,-353.471893,5.501081
-370.816986,-355.581512,5.501078
-370.283112,-357.717499,5.501076
-369.742096,-359.873993,5.501069
-369.194397,-362.051514,5.501066
-368.641815,-364.241699,5.501064
-368.085114,-366.442505,5.501057
-367.525208,-368.651001,5.501053
-366.962189,-370.867004,5.501048
-366.399597,-373.077515,5.501042
-365.837006,-375.283600,5.501038
-365.275513,-377.482391,5.501030
-364.715912,-379.670105,5.501027
-364.159393,-381.843597,5.501024
-363.608398,-383.992889,5.501017
-363.062714,-386.120087,5.501014
-362.522797,-388.223114,5.501009
-361.990814,-390.293304,5.501006
-361.467712,-392.328705,5.501000
-360.954010,-394.326904,5.500998
-360.451904,-396.279907,5.500996
-359.960693,-398.190613,5.500991
-359.483795,-400.045685,5.500987
-359.020599,-401.849304,5.500988
-358.570404,-403.603485,5.500981
-358.140106,-405.281311,5.500981
-357.722595,-406.912598,5.500981
-357.327301,-408.458588,5.500976
-356.948700,-409.943604,5.500976
-356.590302,-411.352905,5.500976
-356.255005,-412.675812,5.500976
