type	latitude	longitude	altitude (m)	color	opacity	width	name	desc	kml_folder
T	31.337558611	121.222272551	5.6	#ff55ff	1.00	5	LeftBoundary	Shifted 8 m left of center	leftBoundary_new.kml
T	31.336703185	121.218032173	0.0						
T	31.336638809	121.217714389	0.5						
T	31.336604039	121.217542889	1.7						
T	31.336586644	121.217446449	2.1						
T	31.336580415	121.217405491	2.1						
T	31.336573820	121.217364534	2.2						
T	31.336567774	121.217326149	2.2						
T	31.336562728	121.217286384	2.3						
T	31.336559858	121.217251114	2.3						
T	31.336556701	121.217201780	2.4						
T	31.336556269	121.217151227	2.3						
T	31.336557166	121.217103221	2.2						
T	31.336560034	121.217058378	2.2						
T	31.336564479	121.217009336	2.1						
T	31.336572224	121.216958782	2.0						
T	31.336581187	121.216905764	2.0						
T	31.336593808	121.216853194	2.1						
T	31.336608582	121.216797434	2.1						
T	31.336628965	121.216736464	2.1						
T	31.336653206	121.216674993	2.0						
T	31.336684579	121.216606045	2.2						
T	31.336717415	121.216544778	2.3						
T	31.336741011	121.216506246	2.5						
T	31.336776590	121.216452311	2.7						
T	31.336815198	121.216402585	2.9						
T	31.336845867	121.216364957	3.0						
T	31.336883059	121.216325326	3.0						
T	31.336928717	121.216281588	3.0						
T	31.336983026	121.216238190	2.9						
T	31.337037062	121.216199545	2.9						
T	31.337096648	121.216164433	2.9						
T	31.337159996	121.216134573	2.9						
T	31.337218166	121.216111817	3.0						
T	31.337286376	121.216092677	2.9						
T	31.337351336	121.216080509	2.9						
T	31.337403372	121.216074479	2.9						
T	31.337467841	121.216072817	2.9						
T	31.337532969	121.216078088	3.0						
T	31.337602560	121.216089837	3.3						
T	31.337669030	121.216107161	3.6						
T	31.337730405	121.216127951	3.7						
T	31.337788241	121.216154770	3.7						
T	31.337844509	121.216187987	3.3						
T	31.337896507	121.216228831	2.9						
T	31.337940428	121.216271679	2.6						
T	31.337980499	121.216318293	2.3						
T	31.338009281	121.216361705	2.1						
T	31.338035022	121.216405853	1.9						
T	31.338055456	121.216449195	1.6						
T	31.338072297	121.216492432	1.3						
T	31.338086069	121.216535827	1.0						
T	31.338097517	121.216578835	0.8						
T	31.338106142	121.216624039	0.6						
T	31.338111292	121.216669092	0.4						
T	31.338114332	121.216710971	0.3						
T	31.338116412	121.216754485	0.1						
T	31.338114816	121.216798412	-0.0						
T	31.338110780	121.216845969	-0.2						
T	31.338103972	121.216889484	-0.5						
T	31.338093816	121.216931163	-0.7						
T	31.338080659	121.216971434	-0.8						
T	31.338065009	121.217013929	-0.9						
T	31.338046543	121.217051228	-1.0						
T	31.338026482	121.217082172	-0.9						
T	31.338005093	121.217110587	-0.9						
T	31.337978135	121.217141951	-0.8						
T	31.337950319	121.217167898	-0.7						
T	31.337919583	121.217190006	-0.6						
T	31.337887612	121.217208521	-0.4						
T	31.337847684	121.217223666	-0.3						
T	31.337807606	121.217232924	-0.1						
T	31.337765583	121.217240223	0.0						
T	31.337722068	121.217239279	0.0						
T	31.337688595	121.217234686	0.0						
T	31.337657255	121.217226444	0.0						
T	31.337630684	121.217217392	-0.0						
T	31.337601828	121.217207258	-0.0						
T	31.337571520	121.217194556	-0.0						
T	31.337555496	121.217187260	-0.0						
T	31.337539221	121.217178477	-0.0						
T	31.337523293	121.217170775	-0.0						
T	31.337508917	121.217164232	-0.0						
T	31.337486593	121.217153939	0.0						
T	31.337471046	121.217147639	0.1						
T	31.337453705	121.217140173	0.1						
T	31.337439553	121.217135973	0.1						
T	31.337426797	121.217133406	0.2						
T	31.337414447	121.217130854	0.2						
T	31.337398970	121.217129006	0.2						
T	31.337386336	121.217128452	0.3						
T	31.337374965	121.217128452	0.3						
T	31.337365332	121.217129007	0.3						
T	31.337356172	121.217130117	0.3						
T	31.337344487	121.217132485	0.4						
T	31.337333158	121.217135433	0.4						
T	31.337321690	121.217138872	0.4						
T	31.337310222	121.217142966	0.5						
T	31.337302669	121.217146242	0.5						
T	31.337290235	121.217152435	0.6						
T	31.337274906	121.217161218	0.6						
T	31.337261045	121.217169429	0.7						
T	31.337249956	121.217178021	0.8						
T	31.337234771	121.217191563	0.8						
T	31.337223011	121.217204109	0.9						
T	31.337211250	121.217218492	1.0						
T	31.337198706	121.217235934	1.0						
T	31.337187729	121.217252764	1.0						
T	31.337178321	121.217268982	1.0						
T	31.337170481	121.217287648	1.0						
T	31.337163164	121.217306619	1.0						
T	31.337158159	121.217327962	1.0						
T	31.337153965	121.217351158	1.0						
T	31.337151401	121.217374354	1.0						
T	31.337149537	121.217399733	1.0						
T	31.337150004	121.217420745	1.0						
T	31.337151404	121.217446670	1.0						
T	31.337155367	121.217470684	1.0						
T	31.337163025	121.217493610	1.0						
T	31.337174194	121.217517380	0.9						
T	31.337181451	121.217530585	0.9						
T	31.337192458	121.217546958	0.8						
T	31.337203845	121.217560459	0.8						
T	31.337217697	121.217575592	0.7						
T	31.337226841	121.217584570	0.7						
T	31.337233734	121.217590912	0.7						
T	31.337240386	121.217596901	0.7						
T	31.337254453	121.217607685	0.6						
T	31.337285139	121.217632418	0.5						
T	31.337320703	121.217658113	0.4						
T	31.337361460	121.217687955	0.3						
T	31.337398873	121.217710689	0.2						
T	31.337442681	121.217735942	0.2						
T	31.337494406	121.217759069	0.1						
T	31.337541616	121.217777975	0.1						
T	31.337569749	121.217789375	0.3						
T	31.337590969	121.217796927	0.4						
T	31.337609012	121.217802528	0.4						
T	31.337622774	121.217805800	0.5						
T	31.337634140	121.217808853	0.5						
T	31.337645693	121.217811035	0.6						
T	31.337657991	121.217813216	0.6						
T	31.337671838	121.217815993	0.7						
T	31.337686641	121.217817022	0.7						
T	31.337704997	121.217817516	0.8						
T	31.337731641	121.217817707	0.9						
T	31.337755046	121.217817172	0.9						
T	31.337777416	121.217815585	1.0						
T	31.337802517	121.217812578	1.0						
T	31.337825490	121.217809006	1.0						
