x,y,z
-371.412415,-447.323792,5.500955
-373.930206,-448.325195,5.500955
-374.751892,-445.964111,5.500959
-376.558685,-440.772186,5.501060
-378.365692,-435.579590,5.501064
-379.187408,-433.218506,5.501065
-377.949402,-432.725311,5.501065
-376.812592,-432.153290,5.501064
-375.763214,-431.502502,5.501066
-374.809814,-430.782715,5.501069
-373.960907,-430.006592,5.501066
-373.204102,-429.166595,5.501068
-372.551788,-428.278809,5.501068
-372.003204,-427.347504,5.501068
-371.553711,-426.365814,5.501068
-371.201111,-425.319489,5.501071
-370.951996,-424.204102,5.501070
-370.815491,-423.023987,5.501070
-370.799713,-421.746490,5.501072
-370.921295,-420.375092,5.501072
-371.198608,-418.899109,5.501074
-371.421906,-417.958588,5.501074
-371.500488,-417.628601,5.501074
-369.068604,-417.048889,5.501075
-363.720490,-415.773987,5.501075
-358.373108,-414.499207,5.500972
-355.941193,-413.919495,5.500977
-355.863098,-414.247406,5.500972
-355.633209,-415.215790,5.500972
-355.075989,-418.189087,5.500972
-354.816010,-421.137299,5.500969
-354.852295,-424.037201,5.500968
-355.182190,-426.879913,5.500966
-355.794800,-429.620087,5.500966
-356.679901,-432.249695,5.500962
-357.824707,-434.751587,5.500962
-359.208099,-437.098907,5.500961
-360.806091,-439.272888,5.500959
-362.598297,-441.264404,5.500957
-364.578491,-443.077911,5.500959
-366.714508,-444.692291,5.500957
-368.996307,-446.108704,5.500959
-371.412415,-447.323792,5.500955
