x,y,z
-317.649200,243.432098,5.501849
-315.577087,242.102097,5.503294
-316.927399,239.998093,5.503292
-319.896698,235.371796,5.503390
-322.866394,230.744797,5.503389
-324.216797,228.640793,5.503387
-326.289307,229.971100,5.501945
-328.195099,231.194397,5.501448
-329.319000,231.837708,5.501448
-330.535095,232.383194,5.501448
-331.827698,232.824402,5.501450
-333.187103,233.158798,5.501450
-334.600311,233.383606,5.501448
-336.043793,233.495804,5.501450
-337.495789,233.495605,5.501448
-338.933014,233.385498,5.501450
-340.327087,233.171402,5.501448
-341.658997,232.860504,5.501450
-342.900299,232.464905,5.501448
-344.035889,231.996002,5.501448
-345.028992,231.479095,5.501448
-345.880615,230.926605,5.501448
-346.559906,230.377594,5.501449
-348.193909,228.894608,5.501446
-349.911285,227.334000,5.501445
-351.592712,229.184204,5.501445
-355.290405,233.252899,5.501448
-358.987701,237.321198,5.501349
-360.669098,239.171204,5.501350
-358.944702,240.738098,5.501351
-357.307098,242.224396,5.501355
-355.258698,243.884293,5.501354
-353.079712,245.300598,5.501354
-350.775513,246.502106,5.501354
-348.383514,247.490997,5.501358
-345.903900,248.282196,5.501359
-343.357910,248.876907,5.501358
-340.753815,249.276794,5.501359
-338.108795,249.479095,5.501357
-335.431488,249.479401,5.501358
-332.734711,249.269699,5.501358
-330.033600,248.840195,5.501359
-327.340912,248.177505,5.501359
-324.680603,247.268600,5.501354
-322.079010,246.100601,5.501354
-319.557312,244.656799,5.501354
-317.649200,243.432098,5.501849
