x,y,z
-361.827789,238.117706,5.501351
-360.669098,239.171204,5.501350
-358.987701,237.321198,5.501349
-355.290405,233.252899,5.501448
-351.592712,229.184204,5.501445
-349.911285,227.334000,5.501445
-351.061798,226.287994,5.501447
-352.250214,225.206604,5.501447
-353.463806,224.101700,5.501446
-354.712402,222.964401,5.501442
-355.984314,221.805298,5.501442
-357.289703,220.615097,5.501442
-358.616486,219.404907,5.501442
-359.969696,218.169998,5.501442
-361.345490,216.914001,5.501438
-362.743011,215.637695,5.501439
-364.164612,214.338898,5.501439
-365.602692,213.024506,5.501439
-367.061707,211.690308,5.501435
-368.537292,210.340805,5.501435
-370.029297,208.975601,5.501434
-371.534088,207.598297,5.501435
-373.054688,206.205902,5.501431
-374.586304,204.803101,5.501432
-376.129791,203.388901,5.501432
-377.681488,201.966797,5.501432
-379.243896,200.534302,5.501432
-380.810791,199.097198,5.501429
-382.383911,197.654007,5.501429
-383.964996,196.203003,5.501428
-385.546509,194.751099,5.501427
-387.131897,193.295197,5.501426
-388.715790,191.840103,5.501427
-390.300903,190.383408,5.501425
-391.882599,188.929398,5.501425
-393.463593,187.475494,5.501425
-395.039215,186.026001,5.501425
-396.610504,184.580093,5.501421
-398.173798,183.140793,5.501421
-399.729309,181.708206,5.501418
-401.278809,180.280594,5.501420
-402.812897,178.866592,5.501418
-404.338501,177.459900,5.501418
-405.845612,176.069504,5.501417
-407.854797,174.317703,5.501416
-409.971710,172.705399,5.501413
-412.214386,171.267899,5.501413
-413.467407,173.431198,5.501413
-416.222992,178.188797,5.501417
-418.978302,182.945694,5.501318
-420.231293,185.108994,5.501318
-419.178314,185.785400,5.501318
-418.007111,186.678101,5.501322
-416.701813,187.816605,5.501323
-415.182892,189.217804,5.501323
-413.656494,190.625198,5.501323
-412.115509,192.045593,5.501324
-410.568909,193.470596,5.501323
-409.010010,194.906204,5.501326
-407.443207,196.348694,5.501326
-405.870911,197.795700,5.501326
-404.292297,199.247894,5.501326
-402.710785,200.702301,5.501330
-401.124115,202.160904,5.501330
-399.537689,203.618698,5.501330
-397.949310,205.077896,5.501330
-396.364197,206.533600,5.501332
-394.779510,207.988403,5.501333
-393.201202,209.436798,5.501333
-391.624298,210.883606,5.501333
-390.053009,212.324707,5.501337
-388.491486,213.756302,5.501337
-386.936188,215.181793,5.501337
-385.391998,216.596497,5.501337
-383.857910,218.001602,5.501336
-382.337402,219.393997,5.501340
-380.827606,220.775803,5.501339
-379.334808,222.141800,5.501340
-377.857208,223.493195,5.501340
-376.397797,224.827606,5.501344
-374.954315,226.147003,5.501344
-373.533813,227.444794,5.501344
-372.131104,228.725800,5.501343
-370.751404,229.985504,5.501348
-369.395996,231.222305,5.501348
-368.063812,232.437500,5.501348
-366.762207,233.624207,5.501348
-365.481689,234.791199,5.501348
-364.234894,235.926804,5.501350
-363.012909,237.039398,5.501351
-361.827789,238.117706,5.501351
