x,y,z
-478.294586,-476.663300,5.500937
-480.550598,-477.273499,5.500937
-481.203491,-474.860199,5.500941
-482.639191,-469.553711,5.501046
-484.075012,-464.246490,5.501046
-484.727905,-461.833313,5.501049
-482.469788,-461.222504,5.501049
-480.249603,-460.622101,5.501049
-478.068390,-460.032196,5.501050
-475.918091,-459.450806,5.501050
-473.806213,-458.879791,5.501051
-471.718414,-458.315308,5.501050
-469.665588,-457.760315,5.501052
-467.642609,-457.213409,5.501052
-465.645294,-456.673492,5.501051
-463.675507,-456.140991,5.501052
-461.725494,-455.614014,5.501052
-459.802185,-455.094086,5.501053
-457.896698,-454.579102,5.501053
-456.015106,-454.070587,5.501054
-454.148499,-453.566010,5.501053
-452.302887,-453.067108,5.501052
-450.467987,-452.571198,5.501052
-448.648407,-452.079407,5.501054
-446.842896,-451.591309,5.501054
-445.046997,-451.105896,5.501054
-443.258911,-450.622589,5.501056
-441.482208,-450.142212,5.501056
-439.707886,-449.662598,5.501058
-437.941406,-449.184906,5.501057
-436.176086,-448.707611,5.501057
-434.413391,-448.230896,5.501057
-432.651794,-447.754395,5.501056
-430.887695,-447.277313,5.501056
-429.120514,-446.799194,5.501057
-427.351593,-446.320587,5.501061
-425.576691,-445.840393,5.501061
-423.792694,-445.357513,5.501060
-422.001404,-444.872711,5.501060
-420.197815,-444.384491,5.501060
-418.385315,-443.893707,5.501060
-416.559204,-443.399200,5.501060
-414.717285,-442.900299,5.501060
-412.861206,-442.397614,5.501060
-410.986389,-441.889587,5.501060
-409.090698,-441.375885,5.501060
-407.176300,-440.856995,5.501060
-405.241089,-440.332397,5.501062
-403.279907,-439.800598,5.501062
-401.294403,-439.262207,5.501062
-399.281586,-438.716187,5.501062
-397.241089,-438.162598,5.501062
-395.172913,-437.601410,5.501062
-393.071289,-437.031097,5.501064
-390.937988,-436.451996,5.501064
-388.771088,-435.863708,5.501063
-386.567810,-435.265503,5.501063
-384.327301,-434.657013,5.501064
-382.048096,-434.037903,5.501065
-381.392700,-436.450409,5.501064
-379.951294,-441.756104,5.501060
-378.510101,-447.061096,5.500955
-377.854706,-449.473694,5.500955
-380.133911,-450.092712,5.500955
-382.374603,-450.701294,5.500953
-384.578308,-451.299713,5.500953
-386.747192,-451.888489,5.500955
-388.881805,-452.467987,5.500951
-390.982605,-453.038086,5.500950
-393.054688,-453.600311,5.500950
-395.095306,-454.153992,5.500950
-397.107513,-454.699799,5.500951
-399.093689,-455.238403,5.500949
-401.054199,-455.769989,5.500950
-402.993195,-456.295593,5.500950
-404.908905,-456.814789,5.500949
-406.802002,-457.327911,5.500950
-408.677704,-457.835999,5.500949
-410.536987,-458.339691,5.500948
-412.378113,-458.838287,5.500947
-414.205811,-459.333313,5.500948
-416.020813,-459.824707,5.500948
-417.821503,-460.312195,5.500948
-419.614014,-460.797394,5.500947
-421.396606,-461.279785,5.500948
-423.174011,-461.760712,5.500948
-424.946014,-462.240204,5.500948
-426.711487,-462.717712,5.500946
-428.474701,-463.194702,5.500946
-430.238007,-463.671600,5.500948
-432.000885,-464.148285,5.500944
-433.765015,-464.625397,5.500944
-435.534302,-465.103699,5.500945
-437.305511,-465.582611,5.500944
-439.086914,-466.064087,5.500944
-440.872314,-466.546814,5.500943
-442.668793,-467.032410,5.500943
-444.477203,-467.521210,5.500943
-446.296112,-468.012787,5.500943
-448.127289,-468.507812,5.500943
-449.978210,-469.008087,5.500943
-451.842010,-469.511902,5.500945
-453.726990,-470.021301,5.500940
-455.627686,-470.535095,5.500941
-457.553314,-471.055511,5.500941
-459.497498,-471.580994,5.500941
-461.470490,-472.114288,5.500940
-463.467712,-472.654205,5.500941
-465.493591,-473.201904,5.500941
-467.547089,-473.756989,5.500941
-469.626190,-474.319214,5.500942
-471.744598,-474.891998,5.500941
-473.890991,-475.472412,5.500941
-476.075989,-476.063202,5.500936
-478.294586,-476.663300,5.500937
